id,title,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genres,genre_count,in_collection,adult,status
437297,"Lord, Give Me Patience",2017-06-16,2017,4600000,7315040,91,0.5769,6.316,201,es,Comedy,1,False,False,Released
437342,The First Omen,2024-04-03,2024,30000000,53992802,119,7.7054,6.817,1278,en,Horror,1,True,False,Released
437543,The Monkey King 3,2018-02-16,2018,87000000,115089944,114,3.5661,5.8,61,zh,"Adventure, Fantasy, Action, Family",4,True,False,Released
437557,Blockers,2018-03-14,2018,21000000,94017294,102,4.3782,6.308,2116,en,Comedy,1,False,False,Released
437583,November,2017-02-03,2017,1550000,19084,115,1.185,7.085,176,et,"Drama, Fantasy, Romance, Horror",4,False,False,Released
437586,mid90s,2018-10-19,2018,1700000,9303022,86,4.2428,7.474,1776,en,"Drama, Comedy",2,False,False,Released
437941,The Bolshoi,2016-12-21,2016,6411831,4029886,132,0.9289,6.1,55,ru,Drama,1,False,False,Released
438148,Minions: The Rise of Gru,2022-06-29,2022,85000000,940203765,87,12.4004,7.27,3992,en,"Action, Animation, Adventure, Comedy, Family, Fantasy, Science Fiction",7,True,False,Released
438457,The Ballad of Lefty Brown,2017-12-15,2017,8000000,7856,105,1.9742,6.3,185,en,Western,1,False,False,Released
438631,Dune,2021-09-15,2021,165000000,410668500,155,23.4037,7.779,14741,en,"Science Fiction, Adventure",2,True,False,Released
438634,Summer 1993,2017-03-24,2017,960000,2700000,98,0.9199,7.0,219,ca,Drama,1,False,False,Released
438650,Cold Pursuit,2019-02-07,2019,60000000,76419755,119,5.0844,5.874,2785,en,"Crime, Action",2,True,False,Released
438674,Dragged Across Concrete,2019-02-21,2019,15000000,660132,159,3.6988,6.595,1104,en,"Crime, Action, Thriller",3,False,False,Released
438689,Siberia,2018-07-13,2018,2000000,2006704,105,2.036,4.7,613,en,"Crime, Romance, Thriller",3,False,False,Released
438695,Sing 2,2021-12-01,2021,85000000,408402685,110,10.1165,7.832,4738,en,"Animation, Music, Comedy, Family",4,True,False,Released
438731,Vivegam,2017-08-24,2017,18400000,20000000,149,0.9635,4.827,55,ta,"Action, Thriller",2,False,False,Released
438740,Salyut-7,2017-09-22,2017,15000000,13767037,106,2.4847,7.056,506,ru,"Action, Drama, Adventure",3,False,False,Released
438799,Overlord,2018-11-01,2018,38000000,41657844,110,4.7611,6.729,3102,en,"Horror, War, Science Fiction",3,False,False,Released
438808,White Boy Rick,2018-09-14,2018,29000000,25957482,111,3.6713,6.353,1196,en,"Crime, Drama",2,False,False,Released
439000,Blockage,2017-02-03,2017,10000,10000,81,0.3327,6.0,12,fa,Drama,1,False,False,Released
